"","Fecha","Frecuencia"
"156",2023-09-03,53.5912817119698
"157",2023-09-04,54.7590732499325
"158",2023-09-05,55.3790008340817
"159",2023-09-06,54.4189392960432
"160",2023-09-07,55.2272344650301
"161",2023-09-08,54.6843654933946
"162",2023-09-09,53.8736890809091
"163",2023-09-10,53.7248674292168
"164",2023-09-11,55.2837921953808
"165",2023-09-12,55.08610087344
"166",2023-09-13,54.4234353264297
"167",2023-09-14,55.3167544295904
"168",2023-09-15,53.8998499501057
"169",2023-09-16,54.3418242715735
"170",2023-09-17,54.9863683727046
"171",2023-09-18,55.2537256925528
"172",2023-09-19,54.6123819946325
"173",2023-09-20,54.8297642178937
"174",2023-09-21,55.0968925801162
"175",2023-09-22,53.7842171528918
"176",2023-09-23,54.2691925215058
"177",2023-09-24,54.4643708629517
