time,forecast
932,-12.80555633
933,8.002278402
934,0.104677108
935,-3.634620754
936,-1.06297391
937,10.35317397
938,5.033580678
939,-7.086513836
940,-15.93909154
941,3.036846799
942,12.04480137
943,3.942493346
944,-7.409050406
945,-6.181730506
946,6.653047829
947,-1.65692007
948,13.31763963
949,-2.429972115
950,3.551886557
951,22.40347284
952,-5.210385647
953,-3.595020986
954,-8.2818858
955,2.906922835
956,-0.007446766
957,12.07896277
958,9.883980367
959,-10.21136128
960,0.325581136
961,-0.449403266
962,1.432482355
963,-6.776316306
964,-3.115674884
965,4.673875844
966,4.315059895
967,6.642784962
968,8.010133465
969,-5.272451827
970,-3.410180114
971,-16.13473794
972,-9.833628662
973,-15.87945823
974,-15.84973285
975,6.933361497
976,-5.486964288
977,-0.21559365
978,1.698031429
979,0.078078122
980,3.301345726
981,-7.82761255
982,-0.633017542
983,6.234131055
984,-15.46333855
985,0.181892007
986,-0.598019478
987,-1.248076096
988,1.209190867
989,-0.802527707
990,6.903893705
991,-18.16709343
992,17.52611384
993,-10.60568413
994,12.08094932
995,0.169991795
996,-0.528900901
997,-7.801579178
998,7.940699388
999,-3.170527568
1000,8.670596642
1001,-3.927061518
1002,-15.23893341
1003,-0.481907857
1004,0.470530536
1005,10.95464996
1006,-1.884883603
1007,10.29075755
1008,-7.332389579
1009,14.27321067
1010,-9.246574113
1011,1.896514152
1012,16.90222044
1013,-3.389146991
1014,15.38031847
1015,-4.278724956
1016,8.372558293
1017,0.896852403
1018,-2.57226805
1019,1.128108136
1020,2.346167923
1021,-6.788033298
1022,6.701343367
1023,-2.535431797
1024,0.0588653
1025,1.530340565
1026,-1.547839908
1027,11.98161088
1028,-17.36467733
1029,0.27611595
1030,11.04554005
1031,3.571553082
1032,-1.146825157
1033,1.421299168
1034,11.97588185
1035,1.127008406
1036,-17.73789733
1037,-31.61819442
1038,-14.78837843
1039,-8.476655578
1040,11.5566373
1041,7.02746304
1042,9.733276451
1043,15.50173392
1044,13.79823802
1045,0.375886333
1046,-0.469678596
1047,14.40983386
1048,11.00845306
1049,-0.848614137
1050,19.23193155
1051,-4.987934148
1052,19.06784623
1053,1.598617668
1054,-17.50608521
1055,16.32950924
1056,15.0336129
1057,13.33787916
1058,6.226597175
1059,-5.877199862
1060,4.168634178
1061,8.747249373
1062,5.5904561
1063,0.137562864
1064,19.50613764
1065,-1.803241569
1066,-3.296870953
1067,-1.868194759
1068,11.96952207
1069,-4.762462282
1070,3.443089621
1071,5.695698402
1072,17.59139927
1073,1.460350283
1074,1.11185818
1075,16.87713608
1076,13.51613269
1077,-19.72545689
1078,-2.281948284
1079,10.44962225
1080,3.515407743
1081,-10.26112807
1082,7.722792299
1083,8.264532766
1084,2.314759356
1085,-3.639832279
1086,10.4032094
1087,-3.885688158
1088,12.38478958
1089,-21.46944071
1090,-58.07287135
1091,2.04210469
1092,-3.433789285
1093,-4.239644823
1094,3.165291277
1095,5.310546467
1096,-15.07119675
1097,-18.62355916
1098,5.478519572
1099,11.94619991
1100,-0.580407643
1101,4.585984323
1102,-11.68726343
1103,2.394348273
1104,7.982904708
1105,-3.799007048
1106,-4.707862158
1107,7.252626297
1108,-12.57142119
1109,-3.565149175
1110,7.116217143
1111,4.107229035
1112,2.958860565
1113,2.616386005
1114,-0.152908022
1115,-1.290425337
1116,-5.803677107
1117,-1.338070211
1118,4.753518547
1119,0.457832801
1120,-0.073352363
1121,1.114805326
1122,-5.676716758
1123,-3.102188739
1124,11.44765981
1125,2.041009562
1126,8.478185851
1127,3.616630659
1128,11.96472217
1129,3.863583011
1130,7.162193914
1131,-16.76495544
1132,-2.476724555
1133,-0.229685566
1134,11.75029633
1135,8.810336596
1136,0.881299096
1137,11.23660623
1138,14.49658737
1139,-2.326594525
1140,31.70459971
1141,-0.93426911
1142,9.958781703
1143,12.12899336
1144,-0.37759619
1145,4.422969309
1146,12.30647969
1147,-7.204066427
1148,2.495306905
1149,1.270289485
1150,17.02677922
1151,9.700683273
1152,-4.707266903
1153,3.79572304
1154,-4.160615642
1155,-16.8550745
1156,8.617933793
1157,-9.219233263
1158,-5.073009076
1159,12.97147159
1160,-12.52290687
1161,-11.53513472
1162,-2.387995791
1163,-6.266676055
1164,-3.084395657
1165,9.208075524
1166,5.45189646
1167,-11.63934631
1168,2.335692673
1169,-16.71347082
1170,4.500570981
1171,-8.744057087
1172,-6.758395689
1173,-24.64360336
1174,7.756894424
1175,4.91910138
1176,1.248859867
1177,-27.61321047
1178,-5.382332618
1179,2.089174388
1180,-4.552294474
1181,7.882774049
1182,-5.217182811
1183,0.97083971
1184,-6.344368511
1185,7.894458608
1186,-2.516581299
1187,2.217005145
1188,-7.551474822
1189,2.88944607
1190,16.09894375
1191,8.290486347
1192,-7.98878109
1193,-6.361320765
1194,0.050834638
1195,-5.430599297
1196,-0.282354699
1197,1.400716332
1198,-7.879678866
1199,4.44163442
1200,-3.551985768
1201,7.513902055
1202,5.679357079
1203,-10.78061637
1204,-8.494986986
1205,-22.35976105
1206,-8.891218831
1207,-10.15875932
1208,11.16056749
1209,6.279437685
1210,-4.013541674
1211,6.147727418
1212,5.612636944
1213,5.866337736
1214,5.14488006
1215,-3.820774984
1216,1.729719761
